"ht_ce","hajek_ce","naive_diff_ce","var_ht_ce","var_hajek_ce","ht_ce_w_re","hajek_ce_w_re","ce_contrast","iter"
-0.887181582901344,-0.494080918868314,-0.535046494130246,2.8195590214051,2.66955882042808,0.669162832753353,2.33317237659387,"c11-c00",1
-1.01303440118998,-0.709563512606196,-0.510506503209756,2.85949907657161,2.78859353131334,-2.53790531771853,-0.583738956127142,"c11-c00",2
-1.03945067193393,-0.623862901572724,-0.574029530830971,2.83054599625501,2.6470807586477,-2.01948160018125,-0.223472101949222,"c11-c00",3
-0.96481917910474,-0.578175901752509,-0.553979757875825,2.99154891894788,2.79494458263306,-0.734299389626631,-0.747678118252583,"c11-c00",4
-1.11887414153478,-0.705243769309356,-0.633126801709138,2.7560461821407,2.55363186347166,-1.43063586683325,-0.222624257275108,"c11-c00",5
-1.09060039661959,-0.656651003769819,-0.663743975870799,2.65824257522631,2.45311460459164,-3.16598827927864,-0.854105454574777,"c11-c00",6
-0.970254846896056,-0.546295078364161,-0.597749458998681,2.58111496521685,2.36990769160153,-3.17367242014108,-1.79732580494197,"c11-c00",7
-1.16522913137431,-0.794962234477342,-0.68379006623105,2.71708825317123,2.55643505023887,-1.4696087509166,-1.6986851515222,"c11-c00",8
-1.17032994284815,-0.746381107296599,-0.75180542329448,2.67032008964546,2.44209076180468,2.57374385961691,-1.21139508386914,"c11-c00",9
-0.93475889097079,-0.608627252483828,-0.63196784567868,2.73966452214388,2.55393688405984,-0.862061453368099,-2.97706570879486,"c11-c00",10
-1.07079961106391,-0.655159315502666,-0.677220824472129,2.60884851425928,2.41345237123702,-3.2624221106918,0.878095465705158,"c11-c00",11
-1.15603765355888,-0.780102071112075,-0.693338892266087,2.69287067351459,2.48811196507613,-1.96069076338844,-1.58801416128271,"c11-c00",12
-0.894931309656809,-0.61463702205987,-0.739918576233163,2.78796035296234,2.64834398276953,0.117882408469555,-0.627365532004216,"c11-c00",13
-0.882902788681215,-0.414222851252175,-0.442720523453605,2.70236006477524,2.52986460581788,-0.820764610509184,1.50125078901337,"c11-c00",14
-1.04784719854076,-0.654875982817738,-0.743651565569665,2.77673250110795,2.5736383818406,-1.77490904745301,-1.8191438902323,"c11-c00",15
-1.12895253844847,-0.738999363404189,-0.703639664203073,2.69291000601988,2.4423659282986,-3.90318802098033,-0.289755161633342,"c11-c00",16
-1.12629385994927,-0.68120019004368,-0.678478299257914,2.70855493602653,2.47840811400115,-1.1687872042971,0.678647317692069,"c11-c00",17
-1.25471057520655,-0.877158846985378,-0.861356244830314,2.68663455722233,2.46635168733064,-3.93224334783101,0.32275872427477,"c11-c00",18
-0.870763000886632,-0.543033695088625,-0.492617089265549,2.88759444546927,2.7450412893507,-2.25457002079904,-2.85565421545949,"c11-c00",19
-1.21453545488781,-0.816094154585174,-0.812395299229187,2.91637411069869,2.67582379091942,-2.2345302673941,-0.847339751058641,"c11-c00",20
-1.23505681441638,-0.908766687927852,-0.78364042309731,2.72768799781984,2.47633956721735,-0.299203193693038,-1.23196646832114,"c11-c00",21
-1.12908172359962,-0.791582243863658,-0.702477886312038,2.94847181143192,2.72990791143743,-0.221590685016535,-1.83628165521083,"c11-c00",22
-0.903948530540577,-0.728898688572112,-0.623214124921484,3.28805751134345,3.1717627262746,1.12203629087127,0.23059762765521,"c11-c00",23
-0.961006570367444,-0.470717542655358,-0.509440671592012,2.61839705472369,2.43296706497031,1.09387525706957,2.24057658959548,"c11-c00",24
-0.896069169052604,-0.677079347845921,-0.588675564099023,2.77870320113597,2.66282178303183,-0.827864201707731,-1.55889560560877,"c11-c00",25
-0.964808632620212,-0.545102499121214,-0.629849476051504,2.74210505912982,2.54342840361287,-1.84477707329979,0.943039711848094,"c11-c00",26
-1.02680590400541,-0.751042907528041,-0.802483404236928,2.82581364516444,2.73429267508919,0.865204802155261,-0.411965360495557,"c11-c00",27
-1.21255592327706,-0.852982574412315,-0.645709100937701,2.87617994007395,2.61116344157444,-1.34972003821729,-2.34691631409633,"c11-c00",28
-0.918816907959755,-0.556384044026365,-0.514278669716951,2.66880598798856,2.49404124194816,-2.14878192934895,-2.45632775788218,"c11-c00",29
-1.04413981267876,-0.666139381631615,-0.617616876573703,2.83762354675325,2.68187058712096,-4.6492749453483,-0.805732916971661,"c11-c00",30
-0.803880772610337,-0.391285271958147,-0.464301557523437,2.58342132658569,2.44482826116864,0.0534808862106464,-0.944704371500557,"c11-c00",31
-1.06328579929137,-0.737525159630334,-0.680930222787205,2.85524898912678,2.64657180441925,-0.519977859488107,-0.202556694937803,"c11-c00",32
-1.22214457939548,-0.874222496549903,-0.681790888477968,2.85727922643167,2.64027269613505,-2.86154809664711,0.0376917023737801,"c11-c00",33
-0.948621187147218,-0.547841240559061,-0.551810867249359,2.78345136597492,2.61121307061154,0.788517780416917,-2.12874405612124,"c11-c00",34
-1.14901480038122,-0.797744182437781,-0.758325765317955,2.9227487981927,2.76602205301683,1.86379756221461,0.182117703061917,"c11-c00",35
-0.902430691449048,-0.437998923634636,-0.492273765757926,2.66669067255695,2.46851303675057,0.00902011066135278,-2.83312717875593,"c11-c00",36
-0.991757844281055,-0.536201347745843,-0.611308929203259,2.73642712683648,2.53922866988055,-3.56064742834564,-3.72811979346208,"c11-c00",37
-1.06324619442408,-0.629849989554356,-0.655202613612404,2.64446034113912,2.44252993258422,-2.71573883587186,-1.10269427969014,"c11-c00",38
-1.0687947387146,-0.682706250643485,-0.686872417063858,2.65643558176769,2.42595317534328,-1.71828162461431,-1.4137982072939,"c11-c00",39
-1.06616937831267,-0.722591901468477,-0.719334350542416,2.78999580391028,2.67751167831145,-2.12373145390383,0.623065615712036,"c11-c00",40
