"ht_ce","hajek_ce","naive_diff_ce","var_ht_ce","var_hajek_ce","ce_contrast","iter","K","with.true.adj","adj.mat.used"
-0.667174674615831,0.921408080917302,0.951190269697111,2.27963818595637,0.0807461951182582,"c11-c00",1,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.174818144822942,0.673027770399784,0.714311293072809,2.20186037004156,0.0442743985489415,"c11-c01",1,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.330782868737065,0.485527533666541,0.504812113833947,0.0143232583984062,0.000418083998056567,"c10-c00",1,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.841992819438773,0.248380310517517,0.236878976624302,1.4469358032293,0.0799637973824607,"c01-c00",1,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.997957543352896,0.43588054725076,0.446378155863163,3.11397715748208,0.0746288122496461,"c11-c10",1,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.579833260015068,0.966941293728748,0.934464321469451,2.16002666982938,0.0727474471222625,"c11-c00",2,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.227815925774975,0.818085048442921,0.807384845129714,2.06291916805046,0.0407402710045444,"c11-c01",2,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.445783434655325,0.491991974673763,0.488360123711,0.014853417931277,0.000481117483585879,"c10-c00",2,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.807649185790043,0.148856245285828,0.127079476339737,1.1774007593751,0.0709178229705238,"c01-c00",2,3,TRUE,"BF.network, BF.W2.network, ST.network"
-1.02561669467039,0.474949319054985,0.446104197758451,3.13154812666769,0.0768205497427016,"c11-c10",2,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.739638115402038,0.841414354525048,0.869841370806055,1.73993775264263,0.0717169236680505,"c11-c00",3,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.109658971168974,0.543969508621561,0.610992415696075,1.41109512769696,0.0292285757132927,"c11-c01",3,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.660881888576132,0.509760796006698,0.506603712929584,0.00816468511098022,0.000895118698250417,"c10-c00",3,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.849297086571012,0.297444845903487,0.258848955109981,1.24505275454667,0.0729504141189308,"c01-c00",3,3,TRUE,"BF.network, BF.W2.network, ST.network"
-1.40052000397817,0.33165355851835,0.363237657876471,3.0341845576624,0.0903556191401061,"c11-c10",3,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.58281996007825,1.06976650232585,1.00462881004518,2.19737226273782,0.080829016721806,"c11-c00",4,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.167879568659895,0.822293194481799,0.788460375540078,2.20831945691297,0.0479830129412511,"c11-c01",4,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.539748418377636,0.498094031403694,0.493518237607243,0.00953328548373032,0.000842207610124572,"c10-c00",4,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.750699528738145,0.247473307844048,0.216168434505104,1.3190671314389,0.0758123688525959,"c01-c00",4,3,TRUE,"BF.network, BF.W2.network, ST.network"
-1.12256837845589,0.571672470922153,0.511110572437939,3.27846551809569,0.0880072508770321,"c11-c10",4,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.894919477033947,0.98167614753823,0.979736500172686,2.45747661895196,0.107422955187564,"c11-c00",5,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.14698479411745,0.839340965589657,0.744358024563462,2.07980856232902,0.0549011383564055,"c11-c01",5,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.220493646396989,0.455001200656027,0.507477677365393,0.239068986450016,0.010697683833724,"c10-c00",5,3,TRUE,"BF.network, BF.W2.network, ST.network"
-1.0419042711514,0.142335181948573,0.235378475609225,1.68080072821867,0.109073780417778,"c01-c00",5,3,TRUE,"BF.network, BF.W2.network, ST.network"
-1.11541312343094,0.526674946882203,0.472258822807293,3.18704879361575,0.077789088119055,"c11-c10",5,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.544011922903235,0.918567608808762,0.927277779958489,1.94934165084877,0.070396803896936,"c11-c00",6,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.137937654919716,0.637911146677293,0.677364715565322,1.94208104926327,0.0507950549554218,"c11-c01",6,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.622295328044048,0.504846830954151,0.506865413702389,-0.0305946635508405,0.000711550767163682,"c10-c00",6,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.681949577822951,0.280656462131469,0.249913064393167,1.28266613082744,0.0741883367525927,"c01-c00",6,3,TRUE,"BF.network, BF.W2.network, ST.network"
-1.16630725094728,0.413720777854612,0.420412366256099,3.15107758736316,0.0832726670721221,"c11-c10",6,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.591018918043376,1.03920764177409,0.966022415162414,2.44369480254391,0.0832969823986439,"c11-c00",7,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.297955676514295,0.857027526354132,0.816725387552511,2.37067467898249,0.0374479769418675,"c11-c01",7,3,TRUE,"BF.network, BF.W2.network, ST.network"
0.512355353743216,0.520211534857322,0.490818947721866,-0.00397643756795852,0.0010172425224435,"c10-c00",7,3,TRUE,"BF.network, BF.W2.network, ST.network"
-0.888974594557671,0.182180115419963,0.149297027609903,1.1706518893391,0.0764506688053063,"c01-c00",7,3,TRUE,"BF.network, BF.W2.network, ST.network"
-1.10337427178659,0.518996106916773,0.475203467440549,3.54278954755318,0.0816248741439102,"c11-c10",7,3,TRUE,"BF.network, BF.W2.network, ST.network"
