"ht_ce","hajek_ce","naive_diff_ce","var_ht_ce","var_hajek_ce","ce_contrast","iter","K","with.true.adj","adj.mat.used"
-0.531040665230188,0.938413668541821,0.936827959479863,1.79355374932517,0.0613227946473997,"c11-c00",1,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
0.0786589139398294,0.650702670035387,0.706293917355268,1.84382359107747,0.0506114220292098,"c11-c01",1,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
0.497023295080099,0.476959971011509,0.478154929946327,0.0213784542731978,0.00108412771804961,"c10-c00",1,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
-0.609699579170017,0.287710998506435,0.230534042124595,1.29719073943996,0.0659697621375825,"c01-c00",1,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
-1.02806396031029,0.461453697530312,0.458673029533536,2.71558441631456,0.071279045206121,"c11-c10",1,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
-0.466366215523362,0.926783969911266,0.971091064294986,2.01504498943814,0.0648608041382567,"c11-c00",2,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
0.206425798325991,0.666287927947961,0.758388607577302,2.05900194581038,0.0359756344056418,"c11-c01",2,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
0.627537125737196,0.493777896650943,0.495228505258547,0.0151507084015058,0.00159886587512911,"c10-c00",2,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
-0.672792013849353,0.260496041963305,0.212702456717683,1.12945365268997,0.0610889253657646,"c01-c00",2,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
-1.09390334126056,0.433006073260323,0.475862559036439,3.13413410533737,0.0737576171832481,"c11-c10",2,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
-0.699904030129024,0.869021124307437,0.969939000230391,2.44735754090444,0.0862981113854327,"c11-c00",3,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
0.25613117730805,0.672543358627135,0.691675310662494,2.25005328715013,0.0524376384138696,"c11-c01",3,3,TRUE,"BF.W2.network, ST.network, ST.W2.network"
