"ht_ce","hajek_ce","naive_diff_ce","var_ht_ce","var_hajek_ce","ht_ce_w_re","hajek_ce_w_re","ce_contrast","iter","param"
-1.04190356601224,-0.724039879064993,-0.694977766277879,2.33896145871989,2.1581406751943,2.66850096474886,-1.15292691746974,"c11-c00",1,"0.05%"
-1.13730754602597,-0.756785826286506,-0.699861337981057,2.37975209129201,2.18059572254936,-2.00796468275733,-2.55631131916918,"c11-c00",2,"0.05%"
-0.713444850012973,-0.384522788005597,-0.656280594820745,2.57573031035779,2.44455727132066,0.707157232898596,1.86915811218424,"c11-c00",3,"0.05%"
-0.947105470892565,-0.663710150154991,-0.580132396672729,2.51762615868789,2.38715837169554,-0.702586623421104,-0.112360277785302,"c11-c00",4,"0.05%"
-1.07629060403008,-0.810603649885964,-0.652492303779247,2.39591551867021,2.21896374784418,-0.81043146009281,-1.63844753117012,"c11-c00",5,"0.05%"
-1.0020333986238,-0.665804094410185,-0.740669029972933,2.47641657965905,2.32674181153866,-2.9698998336762,-2.56138895473681,"c11-c00",6,"0.05%"
-1.09882930173684,-0.71731083928784,-0.615536682932443,2.42135955762143,2.18564859198984,1.65982587097402,-1.88077747295836,"c11-c00",7,"0.05%"
-0.94694429820489,-0.612007632192941,-0.649290239384625,2.43636305336814,2.28585274610195,-3.16150187297332,-2.84214298858079,"c11-c00",8,"0.05%"
-0.963579954167329,-0.634941899511135,-0.628959718306216,2.38487617067819,2.24838895182646,-0.680788502440835,0.163384129106399,"c11-c00",9,"0.05%"
-1.04684421455023,-0.691677362940236,-0.682898062025856,2.46552344993588,2.29156230607319,-0.777715478250876,-0.0561004495983537,"c11-c00",10,"0.05%"
-1.11616229407046,-0.771089382482483,-0.735148855202104,2.48033776662549,2.30989876348203,1.49240046089517,-0.374303142780561,"c11-c00",11,"0.05%"
-0.968973211045077,-0.575263631915315,-0.655419808741944,2.27660801455987,2.10225156582618,-1.27704965453527,-0.857836939291503,"c11-c00",12,"0.05%"
-0.921653595178799,-0.645188471540468,-0.613477828616569,2.46709056025622,2.31411217066268,-2.19681358775761,-2.8034644316056,"c11-c00",13,"0.05%"
-1.07417528686935,-0.747818052232592,-0.717904262664255,2.44990147388108,2.25555393594376,-1.1047837710507,-1.39992589574239,"c11-c00",14,"0.05%"
-1.09337542948465,-0.728498588986103,-0.762774586521631,2.46207527435214,2.2533111922016,-1.99285949142718,-1.14276402185868,"c11-c00",15,"0.05%"
-0.967585010689268,-0.654064501697616,-0.610908836036271,2.49509647858304,2.29857529520089,-4.68400112299411,-0.463481993206283,"c11-c00",16,"0.05%"
-1.03837729227838,-0.66211558546963,-0.667261724798798,2.36976890381632,2.17314610724547,-0.306842470757356,0.148476752678941,"c11-c00",17,"0.05%"
-0.945886541133723,-0.551191381845569,-0.637465419493781,2.44446773486832,2.24599478874681,-1.06610829151491,2.9241090874902,"c11-c00",18,"0.05%"
-1.04858034247098,-0.667648279694289,-0.620012120510176,2.36995580987312,2.20397143955693,-1.12069132882097,-1.54580229423108,"c11-c00",19,"0.05%"
-1.09077302920663,-0.733444887763641,-0.746322420307845,2.40846920314388,2.24081198852375,-4.02737591557821,-1.9665771311822,"c11-c00",20,"0.05%"
-1.04758666110633,-0.690617790141031,-0.708883777167614,2.44780073947753,2.30188150706653,-2.48540692266801,-0.714334099201644,"c11-c00",21,"0.05%"
-1.24097716284515,-0.944415249646632,-0.844432135744489,2.48597726629006,2.28382390028385,-1.85981320269793,-1.34140523125551,"c11-c00",22,"0.05%"
-1.01147582266293,-0.667642325252554,-0.674899647999049,2.46511155225293,2.33483595473852,-1.34518662772176,-2.60735088270432,"c11-c00",23,"0.05%"
-1.04206532200657,-0.628162959031951,-0.710845889046513,2.51091380704481,2.30254146024521,-1.87802767956016,-3.56342181473815,"c11-c00",24,"0.05%"
-1.0333481637957,-0.667193957899986,-0.596561162685749,2.32282406158892,2.15590814817812,0.389754418301598,-0.522453141091945,"c11-c00",25,"0.05%"
-1.005473865637,-0.652118561103847,-0.541127945839811,2.47020883518068,2.27956540442047,-0.543952852612044,-0.724260879546607,"c11-c00",26,"0.05%"
-1.15289761722386,-0.795686253894542,-0.711081780421495,2.41187530934667,2.17482470131376,-2.66512255753196,-2.89439595880606,"c11-c00",27,"0.05%"
-1.20259778649246,-0.809973159100464,-0.740548970104495,2.38671792581272,2.17532334459174,-2.37098796376871,0.261164572322893,"c11-c00",28,"0.05%"
-1.12449803452913,-0.734717638240517,-0.764176404674053,2.43025513276466,2.23222070050285,-1.4821423820598,-0.876542121783234,"c11-c00",29,"0.05%"
-1.10098942487468,-0.725794492272239,-0.629803450817315,2.4006287082528,2.18521261283757,-3.8968042667107,-4.28955122978327,"c11-c00",30,"0.05%"
-1.12971366589086,-0.774287145333209,-0.655674458498871,2.46645993891612,2.24067684416211,0.545434744538109,1.55384014540015,"c11-c00",31,"0.05%"
-0.98251486360023,-0.696798293452059,-0.683607539979141,2.46223687599167,2.31041691535635,-1.68854996504154,-1.79715007986274,"c11-c00",32,"0.05%"
-1.07626052260383,-0.767375298236207,-0.745851916370056,2.43829339676219,2.24041452453981,-2.98190867003326,-1.07615635323675,"c11-c00",33,"0.05%"
-0.964426593640551,-0.565183199594357,-0.672740221839133,2.44608646187092,2.28315677535675,-1.11821452505512,2.87522682098628,"c11-c00",34,"0.05%"
-0.933082054176229,-0.594521568377841,-0.619455052457338,2.48095994061622,2.37040756943498,0.518317462004613,-0.25545615204989,"c11-c00",35,"0.05%"
-0.795946231143219,-0.556238502239651,-0.521216548007506,2.67339817136399,2.57271320384957,0.238480241494162,1.16790181747692,"c11-c00",36,"0.05%"
-1.0793673910002,-0.643418252392181,-0.665278116853181,2.41521800394842,2.20242673329675,1.54037735351396,0.323954424291629,"c11-c00",37,"0.05%"
-0.922853205835896,-0.483214563342748,-0.575040914551562,2.38693922019795,2.18730202466202,0.567508415161677,0.685120409586494,"c11-c00",38,"0.05%"
-0.994221000856417,-0.655892875482336,-0.583222504880573,2.41126661299999,2.28926008454791,-0.604941253720529,1.7834510605987,"c11-c00",39,"0.05%"
-1.16942098113179,-0.840683323001198,-0.79639898082242,2.53084490902993,2.31362579357847,-2.58572293778224,-3.49275529914623,"c11-c00",40,"0.05%"
-1.1352082975238,-0.687048930998932,-0.645899189295426,2.43129379874994,2.21829076726513,-3.50416881699058,-0.912147161589819,"c11-c00",41,"0.05%"
-0.913942553537132,-0.528436782755849,-0.562670311520174,2.49001307844374,2.33744843987339,-1.70993221444916,2.48001151112591,"c11-c00",42,"0.05%"
-1.04000216920191,-0.766322842563943,-0.746144714601658,2.54716242950259,2.37083822691891,-2.84039093435506,-0.706710648003945,"c11-c00",43,"0.05%"
