"ht_ce","hajek_ce","naive_diff_ce","var_ht_ce","var_hajek_ce","ht_ce_w_re","hajek_ce_w_re","ce_contrast","iter"
-1.45926624073542,-0.909951535096288,-0.860537793397385,4.17340642933327,3.80083946869926,-1.98224681622958,-3.34639440819243,"c11-c00",1
-1.34411424754155,-0.967136641557424,-0.815474662756547,3.75826273691169,3.49373950995361,-3.35542067890216,-0.946856988831476,"c11-c00",2
-1.32764163422645,-0.491200275877035,-0.596843659634961,4.80718897732661,4.28893738487019,-1.79175465439244,2.00239292126182,"c11-c00",3
-1.31135844018709,-0.731628651180552,-0.527521763462163,4.22041711656951,3.84517973231769,0.620528594816294,-1.82847344911466,"c11-c00",4
-1.36530887507365,-0.709919631859122,-0.686238459338274,4.04838324164097,3.62022356699296,-2.78930705497078,-4.50306705034319,"c11-c00",5
-1.03990535292349,-0.762829480138468,-0.668851338102754,3.43911475666833,3.2225099177872,0.368403626157108,-1.25309266580825,"c11-c00",6
-1.13580465665313,-0.663877898100659,-0.774132358652259,2.95615586235082,2.72084037371364,-0.208542141395561,-0.488713273388024,"c11-c00",7
-1.2141927178784,-0.804883184744613,-0.839529606765559,3.25832522717744,2.94386686618055,-2.29872548985317,-0.0107327013506203,"c11-c00",8
-1.1113017398332,-0.615732328267548,-0.781682746944153,3.43675553666048,3.20732056445475,1.13274421710266,-0.074493159228061,"c11-c00",9
-1.48004814234225,-0.925692450221363,-0.895209149616845,3.86785399811415,3.50855113388138,0.44790817356046,0.330813839760586,"c11-c00",10
-1.50124140614142,-0.912881320006418,-0.766306794499638,4.01872878397721,3.56871090580807,-2.0895765986544,-1.84648836315939,"c11-c00",11
-1.26584990247183,-0.630912482795165,-0.441733980183167,4.16444035839002,3.6958505646368,-0.557873426040113,2.66541195588437,"c11-c00",12
-1.6265807331555,-1.20817201002258,-1.05431884837706,4.55104539510345,4.45174869784368,-0.129629437147404,-0.580374600123099,"c11-c00",13
-1.03002568145602,-0.563661434365863,-0.548361657945722,2.57754980597972,2.37672873343323,-0.547593110531008,-0.398522469596121,"c11-c00",14
-1.38320961190713,-0.410643399521655,-0.554728339372764,4.06392853717953,3.5257720684379,0.16482402210712,-3.53970790479138,"c11-c00",15
-1.70833555569423,-1.29875567396214,-0.599808610333554,4.49416850114612,4.0782711081038,2.24915576425961,1.4438594321225,"c11-c00",16
-1.03734072095035,-0.685133038436758,-0.619421421482932,3.9739936708059,3.67684233098739,2.1980538091785,0.0616003487262299,"c11-c00",17
-1.34039457164524,-0.906105433590965,-0.767433836792072,3.89044921690625,3.6362466912965,-2.84302689899371,-3.80996123907778,"c11-c00",18
-1.04106272528841,-0.403775849002062,-0.34163831565639,3.52999905725323,3.27713454929752,-6.70675915791733,-1.85148210046232,"c11-c00",19
-0.872192944248928,-0.103272315763234,-0.0587917352806357,4.79776260568795,4.68177226511216,-2.54946909107846,-0.223753383133472,"c11-c00",20
-1.00660157308652,-0.23911288968107,-0.265601003496682,3.97937589982335,3.76748503342209,-4.42844604609821,-0.482851602361882,"c11-c00",21
-1.21617817477745,-0.708079893927048,-0.865866021826215,4.63690061196865,5.13157508006015,0.291950726644312,-2.55154638937349,"c11-c00",22
-1.42346326568933,-0.837561871623304,-0.798650586352068,3.81580822844173,3.44581547656506,-1.51136353045505,-2.66709743386244,"c11-c00",23
-1.4654931516922,-0.71031790849725,-0.590590236587982,4.48932900997574,4.00024869458678,-1.47645187292575,2.92777143311444,"c11-c00",24
-1.5772643366002,-1.14238459146539,-1.14202250273386,3.39204064454402,3.09809590924884,1.72898343046231,1.87655920829064,"c11-c00",25
-1.47275330956133,-0.940627484707867,-0.703569331815609,3.58322519674868,3.23452598460647,-0.706353751860343,3.28193605129308,"c11-c00",26
-0.790628085823275,-0.34529946985515,-0.611987399286119,3.5745774113015,3.3336512297428,-1.22889207622409,0.786927444505127,"c11-c00",27
-1.3420672378711,-0.993278168687437,-1.04398553320858,3.27061880628007,2.99475876895854,1.63549527208968,-0.187208445268949,"c11-c00",28
-1.18155872138677,-0.803818844284814,-0.499477639977735,3.27056366880649,3.0799539779839,2.42427037882937,-2.15975028418842,"c11-c00",29
-1.05390471688606,-0.555704887608784,-0.708617535765722,3.82702884390573,3.53866647356641,-4.46794678644554,-4.29166528896975,"c11-c00",30
-0.885359831773697,-0.425293293894448,-0.671746456331157,3.89798960942784,3.85923932402169,-0.851323507725671,0.29836532647726,"c11-c00",31
-1.11874903581123,-0.697392142426793,-0.699241972470961,2.88497410378033,2.65387874700964,-2.03220920137167,1.33947231568712,"c11-c00",32
-0.788966244880931,-0.463059892635002,-0.609945198574243,3.69127841794595,3.63735236441696,-0.28303483573411,1.12257731628559,"c11-c00",33
-1.60095305508221,-0.899575303490724,-0.825703758825215,4.37229894695274,4.03224052572493,1.7634241906279,-2.00580693306689,"c11-c00",34
-1.09796685571646,-0.525771214259297,-0.587811303150266,3.35458187428553,3.07385462214921,-1.65798537085471,0.256026828446761,"c11-c00",35
-1.46538697718082,-1.03791241579769,-0.768598013277541,3.73541165543348,3.46060828777651,-2.57437661370881,-5.4032755955181,"c11-c00",36
-1.75858676038627,-1.35799033157655,-1.17597837231207,3.91015099751917,3.43715512146951,-4.22143821316016,-2.87611142443701,"c11-c00",37
-1.2675943611373,-0.819162451079436,-0.801934070687334,3.24537363386139,2.95890123764773,-1.02663464473698,-2.79550532824726,"c11-c00",38
-1.27892412024916,-0.804193475569962,-0.656193216753399,3.8943020824892,3.54642509834192,-0.456120798719171,-0.434591729615741,"c11-c00",39
-1.46854572716545,-1.01749140916166,-0.807307480071779,3.54744984457873,3.15783421390909,-0.938129002805118,-1.48465782515771,"c11-c00",40
-0.887282370831357,-0.562490751261462,-0.650005039452058,2.58383673055922,2.45399960990288,-0.378898184061421,-3.1879346991601,"c11-c00",41
-0.882809257778705,-0.480595170332397,-0.593619275326535,2.76341919182136,2.58663217104866,0.692745104580955,-2.93335286605459,"c11-c00",42
-1.11123261805034,-0.804836107305951,-0.776600757494134,3.2051639866958,3.01793214477108,-1.20006070527893,-0.134083348697223,"c11-c00",43
-1.57019196172553,-1.12920293327736,-0.85405566322741,4.29271630855642,3.82468164355315,-1.956789633931,2.02566915617244,"c11-c00",44
-0.986191783810773,-0.34443809250353,-0.437488697557916,3.82099010492724,3.48652450305417,-2.96268514901368,-2.70008354029601,"c11-c00",45
-1.51438443846652,-0.973925503901182,-0.597737784899433,4.41431545347263,4.04314894176769,-2.40078623408023,-0.753097132233019,"c11-c00",46
-1.25742835858761,-0.591442730011328,-0.727897420421257,3.96688345880061,3.69280598175358,0.26577006808602,0.481948681651642,"c11-c00",47
-1.15863342069917,-0.436271995270882,-0.681436627434922,3.72025214407287,3.40613550279841,-3.22919248602129,-2.96440318191634,"c11-c00",48
-0.766607575141113,-0.361024736423015,-0.358447833050039,3.4338235489678,3.30339817874921,1.00663579780635,-1.97194110880188,"c11-c00",49
-0.932803241750288,-0.530684160814158,-0.601189121037851,3.65507601583952,3.65059248825669,0.980019836499275,-1.50306300301935,"c11-c00",50
-1.41663108199805,-0.905972803872705,-0.5226466478204,3.78543988925516,3.54530591863709,-0.00881327449952773,0.168328375720457,"c11-c00",51
-0.700120922877775,-0.053776333463214,-0.273867952386557,3.77700421099268,3.53158381796906,-2.14626495198053,2.48149646416921,"c11-c00",52
-1.879309512832,-1.43647953001018,-1.39781286390143,4.39467906221676,3.8631044306289,-1.79949386151291,-3.11147904512059,"c11-c00",53
-1.18999148362722,-0.678512112337999,-0.726125900891355,3.6721698160674,3.32372005438342,-3.17067986842542,3.14439369054983,"c11-c00",54
-0.746468650999579,-0.172341879107053,-0.440508597417822,4.02233701906304,3.84397980351626,-1.10889385464353,0.658844451207021,"c11-c00",55
-0.845221594330504,-0.178386845275891,-0.534321222897137,4.20972779319699,4.09090411573636,-1.57523742415615,1.25840001440646,"c11-c00",56
-1.31739663140884,-0.596491699739575,-0.652445958938013,4.75998359122291,4.43458630105682,0.488757487830003,-1.6246693675041,"c11-c00",57
-1.17705503168693,-0.816510507581996,-0.622302384339398,3.00052045775875,2.76864609196025,0.0829468428416129,-2.28505722646853,"c11-c00",58
-1.08174159215147,-0.76136412379679,-0.490121769787135,4.25953076909709,4.01379571170016,-0.210657644092903,-1.9267974790716,"c11-c00",59
-1.71903877691982,-1.11871710322947,-0.803696774344837,4.86075252908635,4.4519203058869,1.4751092345694,-2.71555327685425,"c11-c00",60
-1.18157614748621,-0.910758765278051,-0.648507027328542,3.18945745677854,3.09574576456572,0.577035384522738,-3.48175889274653,"c11-c00",61
-1.29862916724184,-0.634340027304368,-0.815893608026671,3.88221935370167,3.53934150089138,-1.54076698186813,-1.52925665517956,"c11-c00",62
-0.965366145188322,-0.625230715374315,-0.773791689319651,3.0835494615403,2.89345286438428,1.1772004438503,-0.767700794850447,"c11-c00",63
-1.15228248433778,-0.509726260916555,-0.745213685094771,3.46541188116738,3.24120852305812,-1.48257056170684,1.65254539680362,"c11-c00",64
-1.03743296615645,-0.411527943844476,-0.491287462233733,3.6850279856797,3.47830891336372,-2.63003129883042,0.950871470275271,"c11-c00",65
